name,url,rating,difficulty,language,tema,subtema
"""making"" progress teach-out",https://coursera.org/learn/makingprogress,4.7,beginner level,en,social sciences, governance and society
(business writing) الكتابة في مجال الأعمال,https://coursera.org/learn/writing-for-business-ar,4.7,beginner level,ar,business, business essentials
(giving helpful feedback) إعطاء الملاحظات المفيدة,https://coursera.org/learn/feedback-ar,4.8,none,ar,business, business essentials
(successful presentation) العرض التقديمي الناجح,https://coursera.org/learn/presentation-skills-ar,4.9,beginner level,it,business, business essentials
.net平台下的软件开发技术毕业项目,https://coursera.org/learn/net-ruanjian-kaifa-biye,4.7,none,ko,computer science, software development
1.- el cálculo - modelo lineal,https://coursera.org/learn/calculo-1,4.7,none,es,math and logic, math and logic
2.- el cálculo - modelo cuadrático,https://coursera.org/learn/calculo-2,4.7,none,es,math and logic, math and logic
20世纪西方音乐 western music in the 20th century,https://coursera.org/learn/20cnwm,4.3,beginner level,en,arts and humanities, music and art
3-axis machining with autodesk fusion 360,https://coursera.org/learn/3-axis-machining-autodesk-fusion-360,5,advanced level,en,physical science and engineering, mechanical engineering
3.- el cálculo - modelo cúbico,https://coursera.org/learn/calculo-3,4.7,none,es,math and logic, math and logic
3d art and audio pipeline,https://coursera.org/learn/3d-art-and-audio-pipeline,4.3,intermediate level,en,computer science, software development
3d cad application,https://coursera.org/learn/3d-cad-application,4.9,intermediate level,en,physical science and engineering, mechanical engineering
3d cad fundamental,https://coursera.org/learn/3d-cad-fundamental,4.8,beginner level,es,physical science and engineering, mechanical engineering
3d data visualization for science communication,https://coursera.org/learn/data-visualization-science-communication,4.7,beginner level,it,data science, data analysis
3d graphics in android: sensors and vr,https://coursera.org/learn/3d-graphics-android-sensors-vr,4.7,advanced level,en,computer science, mobile and web development
atención prehospitalaria del ictus agudo y selección de pacientes para tratamiento endovascular con la escala race,https://coursera.org/learn/ictus-agudo-escala-race,4.8,intermediate level,es,health, patient care
brand & content marketing,https://coursera.org/learn/brand-and-content-marketing,4.5,intermediate level,en,arts and humanities, history
" comercio, inmigración y tipos de cambio en un mundo globalizado",https://coursera.org/learn/comercio-inmigracion-tipos-de-cambio,5,beginner level,es,social sciences, economics
fpga computing systems: background knowledge and introductory materials,https://coursera.org/learn/fpga-intro,4.6,beginner level,en,computer science, design and product
future healthcare payment models,https://coursera.org/learn/healthcare-payment-models,4.4,beginner level,en,health, healthcare management
введение в ios-разработку,https://coursera.org/learn/ios-razrabotka-na-swift,4.4,intermediate level,ru,computer science, mobile and web development
geospatial and environmental analysis,https://coursera.org/learn/spatial-analysis,4.8,intermediate level,en,physical science and engineering, environmental science and sustainability
combinatorics and probability,https://coursera.org/learn/combinatorics,4.6,beginner level,en,computer science, algorithms
introducción a la contabilidad financiera,https://coursera.org/learn/wharton-contabilidad-financiera,4.6,none,es,business, business strategy
"surveillance systems: analysis, dissemination, and special systems",https://coursera.org/learn/epidemiology-surveillance-systems-analysis,4.7,beginner level,en,health, public health
базы данных (databases),https://coursera.org/learn/data-bases-intr,4.3,none,ru,data science, data analysis
finance for everyone: debt,https://coursera.org/learn/finance-debt,4.7,none,en,business, finance
managing big data with mysql,https://coursera.org/learn/analytics-mysql,4.7,none,tl,data science, data analysis
managing an agile team,https://coursera.org/learn/uva-darden-agile-team-management,4.7,none,tl,computer science, design and product
ооп и паттерны проектирования в python,https://coursera.org/learn/oop-patterns-python,3.8,intermediate level,ru,computer science, software development
introduction to advanced tomography,https://coursera.org/learn/cinemaxe,4.7,none,en,physical science and engineering, physics and astronomy
launching into machine learning en français,https://coursera.org/learn/launching-machine-learning-fr,4.7,intermediate level,fr,data science, machine learning
creative programming for digital media & mobile apps,https://coursera.org/learn/digitalmedia,4.3,none,en,computer science, software development
spanish for successful communication in healthcare settings,https://coursera.org/learn/spanish-in-healthcare-settings,4.8,intermediate level,en,health, patient care
digital product management: modern fundamentals,https://coursera.org/learn/uva-darden-digital-product-management,4.7,beginner level,de,business, leadership and management
digital competition in financial services,https://coursera.org/learn/digital-competition-financial-services,4.6,beginner level,it,business, business strategy
mathematics for machine learning: pca,https://coursera.org/learn/pca-machine-learning,4,intermediate level,en,data science, machine learning
"programming foundations with javascript, html and css",https://coursera.org/learn/duke-programming-web,4.6,beginner level,en,computer science, mobile and web development
погружение в python,https://coursera.org/learn/diving-in-python,4.7,intermediate level,ru,computer science, software development
probabilistic graphical models 2: inference,https://coursera.org/learn/probabilistic-graphical-models-2-inference,4.6,advanced level,en,data science, machine learning
evidence-based toxicology,https://coursera.org/learn/evidence-based-toxicology,4.8,beginner level,en,health, basic science
identifying social entrepreneurship opportunities,https://coursera.org/learn/social-entrepreneurship-opportunities,4.6,beginner level,en,business, entrepreneurship
launching into machine learning,https://coursera.org/learn/launching-machine-learning,4.6,intermediate level,en,data science, machine learning
global strategy i: how the global economy works,https://coursera.org/learn/global-strategy,4.9,none,en,business, business strategy
quantitative research,https://coursera.org/learn/quantitative-research,4.2,intermediate level,en,business, marketing
sprachtechnologie in den digital humanities,https://coursera.org/learn/digital-humanities,4.8,beginner level,de,data science, data analysis
learn to program: the fundamentals,https://coursera.org/learn/learn-to-program,4.8,beginner level,en,computer science, software development
evaluación educativa del y para el aprendizaje en educación superior,https://coursera.org/learn/evaluacion-educativa,4.8,beginner level,es,social sciences, education
social computing,https://coursera.org/learn/social-computing,4.4,none,en,social sciences, governance and society
image and video processing: from mars to hollywood with a stop at the hospital,https://coursera.org/learn/image-processing,4.7,none,en,math and logic, math and logic
getting started in cryo-em,https://coursera.org/learn/cryo-em,4.9,none,en,health, research
forensic accounting and fraud examination,https://coursera.org/learn/forensic-accounting,4.7,none,en,business, finance
compra programática de medios: publicidad online en tiempo real,https://coursera.org/learn/compra-programatica,4.7,beginner level,es,business, marketing
strategic business management - macroeconomics,https://coursera.org/learn/strategic-business-management-macroeconomics,4.8,beginner level,en,business, business strategy
data in database,https://coursera.org/learn/data-in-database,3.6,intermediate level,id,information technology, data management
exploring ​and ​preparing ​your ​data with bigquery 日本語版,https://coursera.org/learn/gcp-exploring-preparing-data-bigquery-jp,4.7,beginner level,en,information technology, data management
competencias digitales. bases de datos: access,https://coursera.org/learn/competencias-digitales-access,4.7,beginner level,pt,personal development, personal development
世界空间、法国视角下的国际研究,https://coursera.org/learn/espace-mondial-cn,4.7,beginner level,zh-cn,social sciences, governance and society
climate change and water in mountains: a global concern,https://coursera.org/learn/climate-changes-mountains-water,4.5,intermediate level,en,physical science and engineering, environmental science and sustainability
introduction to systems biology,https://coursera.org/learn/systems-biology,4.3,none,en,health, basic science
"tropical parasitology: protozoans, worms, vectors and human diseases",https://coursera.org/learn/parasitology,4.7,intermediate level,en,health, basic science
managerial accounting fundamentals,https://coursera.org/learn/uva-darden-managerial-accounting,4.8,beginner level,en,business, finance
the strategy of content marketing,https://coursera.org/learn/content-marketing,4.5,intermediate level,en,business, marketing
lesson | get ready for the interview,https://coursera.org/learn/lesson-get-ready-for-the-interview,4.7,none,en,language learning, learning english
the science of training young athletes,https://coursera.org/learn/youth-sports,4.8,beginner level,en,personal development, personal development
build your first android app (project-centered course),https://coursera.org/learn/android-app,4.3,none,en,computer science, mobile and web development
avatar psychology for designers,https://coursera.org/learn/avatar-psychology-for-designers,4.7,beginner level,en,computer science, software development
building resilient streaming analytics systems on gcp,https://coursera.org/learn/streaming-analytics-systems-gcp,4.8,intermediate level,en,information technology, cloud computing
introduction to applied machine learning,https://coursera.org/learn/machine-learning-applied,4.7,intermediate level,en,data science, machine learning
introduction to climate change and health,https://coursera.org/learn/introduction-climate-change-health,4.7,beginner level,en,health, public health
экономика предприятия,https://coursera.org/learn/ekonomika-predpriyatiya,4.5,none,bg,business, business essentials
organic solar cells - theory and practice,https://coursera.org/learn/solar-cell,4.6,none,en,physical science and engineering, chemistry
introducción a la calidad,https://coursera.org/learn/gestion-de-productividad,4.6,none,es,business, business strategy
analytic combinatorics,https://coursera.org/learn/analytic-combinatorics,4.7,intermediate level,en,math and logic, math and logic
supply chain management: be global,https://coursera.org/learn/supply-chain-management-global,4.8,beginner level,en,business, business strategy
